"Timestamp","Please indicate how you feel now","How old are you?","What is your gender?","Where do you live?","In which country do you live?","You are alone in a room and have 100 DKK on a table in front of you. You can give to charity as much as you want (the amount can be as low as 1 DKK). You can keep the rest. Would you donate to charity?","You are alone in a room and have 100 DKK on a table in front of you. You must donate some part of it. You can keep the rest. Please indicate how much you would DONATE.","You are alone in a room and have 4000 HUF on a table in front of you. You can give to charity as much as you want (the amount can be as low as 1 HUF). You can keep the rest. Would you donate to charity?","You are alone in a room and have 4000 HUF on a table in front of you. You must donate some part of it. You can keep the rest. Please indicate how much you would DONATE.","Please indicate how you feel now","To what extent do you trust that donations in real life arrive to where they should?","Did you notice the picture on top before seeing this question?","Are you filling in this questionnaire on a phone or computer?","How many people can you see if you look around? (Don't look out the windows!)"
"2018/05/01 5:03:05 pm EET","9","23","Female","Denmark","","Yes","donate 50-70 DKK","","","8","6","Yes","Phone","I'm alone"
"2018/05/01 5:04:00 pm EET","3","20","Female","Denmark","","Yes","donate 30-50 DKK","","","3","6","No","Phone","more than 5"
"2018/05/01 5:08:30 pm EET","7","20","Female","Denmark","","No","donate less than 10 DKK","","","7","5","No","Computer","I'm alone"
"2018/05/01 5:10:39 pm EET","6","27","Female","Denmark","","Yes","donate 10-30 DKK","","","7","3","No","Computer","I'm alone"
"2018/05/01 5:10:53 pm EET","9","20","Male","Denmark","","Yes","donate 50-70 DKK","","","9","7","Yes","Computer","I'm alone"
"2018/05/01 5:39:57 pm EET","7","21","Male","Denmark","","No","donate 30-50 DKK","","","7","8","No","Computer","I'm alone"
"2018/05/01 5:41:37 pm EET","7","25","Female","Denmark","","Yes","donate 30-50 DKK","","","7","5","Yes","Phone","less than 5"
"2018/05/01 5:53:10 pm EET","3","27","Female","Denmark","","No","donate 30-50 DKK","","","4","4","Yes","Computer","less than 5"
"2018/05/01 6:01:46 pm EET","8","22","Male","Denmark","","Yes","donate 30-50 DKK","","","8","3","No","Phone","I'm alone"
"2018/05/01 6:11:23 pm EET","8","27","Male","Denmark","","Yes","donate 100 DKK (donate all the money)","","","8","6","Yes","Computer","I'm alone"
"2018/05/01 6:27:22 pm EET","6","29","Male","Other","Italy","Yes","donate 10-30 DKK","","","5","3","Yes","Computer","I'm alone"
"2018/05/01 6:34:29 pm EET","7","33","Male","Denmark","","Yes","donate 100 DKK (donate all the money)","","","8","3","Yes","Computer","I'm alone"
"2018/05/01 6:54:42 pm EET","8","20","Female","Denmark","","Yes","donate 10-30 DKK","","","8","5","Yes","Computer","less than 5"
"2018/05/01 7:02:16 pm EET","4","25","Male","Denmark","","No","donate 100 DKK (donate all the money)","","","5","4","No","Phone","I'm alone"
"2018/05/01 7:18:02 pm EET","2","21","Female","Other","Spain","Yes","donate 100 DKK (donate all the money)","","","3","3","No","Phone","more than 5"
"2018/05/01 7:34:09 pm EET","6","21","Female","Other","Northern Ireland","No","donate less than 10 DKK","","","6","7","No","Phone","I'm alone"
"2018/05/01 7:34:17 pm EET","9","32","Female","Denmark","","Yes","donate 100 DKK (donate all the money)","","","9","8","No","Phone","less than 5"
"2018/05/01 7:38:29 pm EET","3","29","Female","Denmark","","Yes","donate 30-50 DKK","","","3","3","No","Phone","I'm alone"
"2018/05/01 7:39:00 pm EET","6","21","Female","Denmark","","Yes","donate 50-70 DKK","","","9","9","No","Phone","I'm alone"
"2018/05/01 7:39:59 pm EET","6","21","Male","Hungary","","","","Yes","donate 1200-2000 HUF","6","6","Yes","Computer","I'm alone"
"2018/05/01 7:49:31 pm EET","8","41","Male","Denmark","","Yes","donate 50-70 DKK","","","8","6","Yes","Other","I'm alone"
