"Timestamp","Please indicate how you feel now","How old are you?","What is your gender?","Where do you live?","In which country do you live?","You are alone in a room and have 100 DKK on a table in front of you. You can give to charity as much as you want (the amount can be as low as 1 DKK). You can keep the rest. Would you donate to charity?","You are alone in a room and have 100 DKK on a table in front of you. You must donate some part of it. You can keep the rest. Please indicate how much you would DONATE.","You are alone in a room and have 4000 HUF on a table in front of you. You can give to charity as much as you want (the amount can be as low as 1 HUF). You can keep the rest. Would you donate to charity?","You are alone in a room and have 4000 HUF on a table in front of you. You must donate some part of it. You can keep the rest. Please indicate how much you would DONATE.","Please indicate how you feel now","To what extent do you trust that donations in real life arrive to where they should?","Did you notice the picture on top before seeing this question?","Are you filling in this questionnaire on a phone or computer?","How many people can you see if you look around? (Don't look out the windows!)"
"2018/05/01 5:01:31 pm EET","9","37","Female","Denmark","","Yes","donate 100 DKK (donate all the money)","","","9","1","Yes","Phone","less than 5"
"2018/05/01 5:01:32 pm EET","6","28","Female","Denmark","","Yes","donate 50-70 DKK","","","6","5","Yes","Computer","I'm alone"
"2018/05/01 5:02:19 pm EET","4","27","Male","Denmark","","No","donate 30-50 DKK","","","5","8","No","Phone","less than 5"
"2018/05/01 5:02:42 pm EET","9","29.8","Female","Denmark","","Yes","donate 10-30 DKK","","","9","7","Yes","Phone","less than 5"
"2018/05/01 5:09:17 pm EET","9","19","Female","Denmark","","Yes","donate 50-70 DKK","","","9","7","Yes","Computer","I'm alone"
"2018/05/01 5:11:32 pm EET","8","23","Female","Denmark","","Yes","donate 100 DKK (donate all the money)","","","8","7","Yes","Phone","I'm alone"
"2018/05/01 5:12:58 pm EET","8","35","Female","Denmark","","Yes","donate 30-50 DKK","","","8","7","No","Computer","less than 5"
"2018/05/01 5:14:39 pm EET","7","27","Female","Denmark","","Yes","donate 100 DKK (donate all the money)","","","8","6","Yes","Computer","I'm alone"
"2018/05/01 5:15:38 pm EET","5","24","Male","Denmark","","Yes","donate 10-30 DKK","","","5","5","Yes","Phone","less than 5"
"2018/05/01 5:25:32 pm EET","7","24","Female","Denmark","","No","donate 100 DKK (donate all the money)","","","7","8","Yes","Phone","more than 5"
"2018/05/01 5:30:56 pm EET","7","22","Female","Denmark","","Yes","donate 10-30 DKK","","","7","2","Yes","Computer","I'm alone"
"2018/05/01 5:35:35 pm EET","5","21","Female","Hungary","","","","Yes","donate 4000 HUF (donate all the money)","6","7","Yes","Computer","I'm alone"
"2018/05/01 5:37:13 pm EET","7","21","Female","Hungary","","","","No","donate 400-1200 HUF","5","4","Yes","Phone","less than 5"
"2018/05/01 5:38:21 pm EET","8","34","Female","Denmark","","No","donate less than 10 DKK","","","8","3","No","Computer","I'm alone"
"2018/05/01 5:46:51 pm EET","8","19","Female","Denmark","","Yes","donate 100 DKK (donate all the money)","","","8","8","Yes","Phone","I'm alone"
"2018/05/01 5:48:39 pm EET","7","24","Female","Denmark","","Yes","donate 10-30 DKK","","","7","3","Yes","Computer","more than 5"
"2018/05/01 5:49:48 pm EET","8","19","Male","Denmark","","No","donate 30-50 DKK","","","7","4","Yes","Computer","I'm alone"
"2018/05/01 6:06:28 pm EET","8","33","Female","Denmark","","No","donate less than 10 DKK","","","8","1","Yes","Computer","I'm alone"
"2018/05/01 6:19:05 pm EET","5","19","Female","Denmark","","Yes","donate 100 DKK (donate all the money)","","","7","8","Yes","Phone","I'm alone"
"2018/05/01 6:37:07 pm EET","9","23","Female","Denmark","","Yes","donate 10-30 DKK","","","9","7","Yes","Phone","I'm alone"
"2018/05/01 6:37:26 pm EET","4","23","Female","Denmark","","Yes","donate 10-30 DKK","","","4","5","Yes","Computer","I'm alone"
"2018/05/01 6:47:49 pm EET","8","23","Female","Denmark","","No","donate 50-70 DKK","","","8","4","Yes","Phone","I'm alone"
"2018/05/01 6:52:19 pm EET","7","22","Female","Hungary","","","","Yes","donate less than 400 HUF","7","6","Yes","Computer","I'm alone"
"2018/05/01 6:53:40 pm EET","8","23","Male","Denmark","","Yes","donate 30-50 DKK","","","8","8","Yes","Computer","I'm alone"
"2018/05/01 6:56:58 pm EET","7","19","Male","Denmark","","Yes","donate 30-50 DKK","","","8","5","No","Computer","I'm alone"
"2018/05/01 7:19:50 pm EET","2","21","Female","Denmark","","No","donate 30-50 DKK","","","3","4","No","Phone","I'm alone"
"2018/05/01 7:39:09 pm EET","6","38","Female","Denmark","","Yes","donate 30-50 DKK","","","6","2","Yes","Phone","I'm alone"
"2018/05/01 8:06:31 pm EET","10","24","Male","Denmark","","Yes","donate less than 10 DKK","","","9","3","No","Phone","I'm alone"
"2018/05/01 8:14:16 pm EET","8","38","Female","Denmark","","Yes","donate 30-50 DKK","","","8","3","No","Phone","less than 5"
"2018/05/01 9:07:19 pm EET","7","31","Female","Denmark","","Yes","donate 30-50 DKK","","","7","4","Yes","Phone","less than 5"
"2018/05/01 9:49:30 pm EET","8","21","Female","Denmark","","Yes","donate 50-70 DKK","","","8","4","Yes","Computer","I'm alone"
"2018/05/01 9:58:33 pm EET","5","22","Female","Denmark","","Yes","donate 100 DKK (donate all the money)","","","5","4","Yes","Computer","I'm alone"
"2018/05/01 10:44:42 pm EET","10","30","Female","Denmark","","Yes","donate 100 DKK (donate all the money)","","","10","9","Yes","Phone","less than 5"
"2018/05/01 10:51:13 pm EET","6","27","Female","Denmark","","Yes","donate less than 10 DKK","","","5","5","Yes","Phone","I'm alone"
"2018/05/01 11:17:24 pm EET","8","28","Female","Denmark","","Yes","donate 30-50 DKK","","","7","2","No","Phone","I'm alone"
"2018/05/01 11:21:24 pm EET","7","25","Female","Denmark","","Yes","donate 10-30 DKK","","","7","2","Yes","Phone","less than 5"
"2018/05/02 12:13:50 am EET","7","23","Female","Denmark","","Yes","donate 100 DKK (donate all the money)","","","7","8","Yes","Phone","less than 5"
"2018/05/02 12:20:31 am EET","7","30","Female","Denmark","","No","donate 10-30 DKK","","","7","8","No","Computer","I'm alone"
"2018/05/02 12:30:31 am EET","8","26","Female","Denmark","","No","donate 70-90 DKK","","","8","3","No","Phone","I'm alone"
"2018/05/02 2:38:22 am EET","8","23","Male","Denmark","","Yes","donate 10-30 DKK","","","8","7","No","Phone","less than 5"
"2018/05/02 6:02:14 am EET","8","59","Male","Denmark","","Yes","donate 10-30 DKK","","","8","8","Yes","Computer","less than 5"
"2018/05/02 6:13:42 am EET","7","26","Female","Denmark","","No","donate less than 10 DKK","","","7","4","Yes","Phone","I'm alone"
"2018/05/02 7:08:46 am EET","7","31","Female","Denmark","","Yes","donate 100 DKK (donate all the money)","","","7","7","Yes","Phone","I'm alone"
"2018/05/02 8:41:22 am EET","6","22","Female","Denmark","","Yes","donate 30-50 DKK","","","7","5","Yes","Phone","I'm alone"
"2018/05/02 8:56:42 am EET","7","23","Female","Denmark","","Yes","donate 50-70 DKK","","","7","8","Yes","Computer","more than 5"
"2018/05/02 8:57:28 am EET","7","23","Female","Denmark","","Yes","donate 50-70 DKK","","","7","8","Yes","Computer","more than 5"
"2018/05/02 8:58:36 am EET","5","24","Female","Denmark","","Yes","donate 100 DKK (donate all the money)","","","5","5","Yes","Phone","I'm alone"
"2018/05/02 9:06:26 am EET","8","23","Male","Denmark","","No","donate 50-70 DKK","","","7","2","Yes","Computer","I'm alone"
"2018/05/02 9:35:21 am EET","8","23","Female","Other","Germany ","No","donate 10-30 DKK","","","6","4","Yes","Phone","more than 5"
"2018/05/02 10:24:10 am EET","7","20","Female","Denmark","","Yes","donate 30-50 DKK","","","7","3","Yes","Computer","I'm alone"
"2018/05/02 10:37:33 am EET","5","21","Male","Denmark","","Yes","donate 50-70 DKK","","","5","3","Yes","Phone","I'm alone"
"2018/05/02 11:04:42 am EET","9","24","Female","Other","Brazil","Yes","donate 100 DKK (donate all the money)","","","9","7","Yes","Computer","I'm alone"
"2018/05/02 11:06:47 am EET","8","22","Female","Denmark","","Yes","donate 10-30 DKK","","","7","7","Yes","Phone","I'm alone"
"2018/05/02 11:11:11 am EET","5","26","Male","Denmark","","No","donate less than 10 DKK","","","5","3","No","Phone","less than 5"
"2018/05/02 11:18:12 am EET","9","21","Male","Other","Spain","Yes","donate less than 10 DKK","","","8","5","No","Computer","I'm alone"
"2018/05/02 11:27:43 am EET","5","33","Male","Denmark","","No","donate 10-30 DKK","","","5","2","Yes","Computer","I'm alone"
"2018/05/02 11:36:38 am EET","7","18","Female","Other","Lithuania","Yes","donate 10-30 DKK","","","7","5","Yes","Phone","I'm alone"
"2018/05/02 11:43:12 am EET","5","20","Female","Denmark","","Yes","donate 30-50 DKK","","","5","2","Yes","Computer","more than 5"
"2018/05/02 12:17:07 pm EET","7","19","Female","Denmark","","Yes","donate 30-50 DKK","","","6","8","Yes","Computer","less than 5"
"2018/05/02 12:43:11 pm EET","6","24","Female","Denmark","","No","donate less than 10 DKK","","","8","6","Yes","Computer","I'm alone"
"2018/05/02 1:26:39 pm EET","8","30","Female","Denmark","","No","donate less than 10 DKK","","","8","2","Yes","Phone","I'm alone"
"2018/05/02 2:30:33 pm EET","8","10","Female","Hungary","","","","Yes","donate 400-1200 HUF","8","7","No","Phone","more than 5"
"2018/05/02 2:39:23 pm EET","8","25","Female","Denmark","","Yes","donate 10-30 DKK","","","8","4","Yes","Phone","more than 5"
"2018/05/02 2:54:25 pm EET","7","25","Female","Denmark","","Yes","donate 10-30 DKK","","","6","4","Yes","Computer","less than 5"
"2018/05/02 3:15:30 pm EET","6","32","Male","Denmark","","No","donate 10-30 DKK","","","6","1","Yes","Computer","I'm alone"
"2018/05/02 4:05:54 pm EET","4","30","Female","Denmark","","Yes","donate 30-50 DKK","","","3","4","Yes","Phone","less than 5"
"2018/05/02 4:12:25 pm EET","7","23","Male","Denmark","","No","donate 50-70 DKK","","","7","3","Yes","Computer","less than 5"
"2018/05/02 4:56:46 pm EET","7","19","Male","Other","Canada","No","donate 10-30 DKK","","","7","5","Yes","Phone","I'm alone"
"2018/05/02 4:57:58 pm EET","6","27","Female","Denmark","","No","donate less than 10 DKK","","","6","3","Yes","Phone","I'm alone"
"2018/05/02 5:00:46 pm EET","6","27","Female","Denmark","","Yes","donate 10-30 DKK","","","6","3","Yes","Computer","I'm alone"
"2018/05/02 5:20:57 pm EET","6","20","Female","Denmark","","Yes","donate 10-30 DKK","","","6","4","Yes","Computer","less than 5"
"2018/05/02 6:02:28 pm EET","7","23","Female","Hungary","","","","Yes","donate 2000-2800 HUF","7","8","Yes","Phone","I'm alone"
"2018/05/02 6:35:40 pm EET","7","18","Female","Denmark","","Yes","donate 10-30 DKK","","","8","4","No","Phone","more than 5"
"2018/05/02 6:39:40 pm EET","8","20","Female","Denmark","","Yes","donate 100 DKK (donate all the money)","","","9","2","Yes","Computer","I'm alone"
"2018/05/02 7:08:02 pm EET","8","27","Female","Denmark","","Yes","donate 10-30 DKK","","","8","7","No","Phone","I'm alone"
"2018/05/02 7:28:43 pm EET","8","22","Female","Denmark","","Yes","donate 30-50 DKK","","","7","3","No","Phone","less than 5"
"2018/05/02 7:37:32 pm EET","10","26","Female","Denmark","","Yes","donate 30-50 DKK","","","10","8","Yes","Phone","I'm alone"
"2018/05/02 7:46:31 pm EET","7","21","Male","Hungary","","","","No","donate 2000-2800 HUF","5","4","Yes","Phone","less than 5"
"2018/05/02 7:52:19 pm EET","2","20","Male","Denmark","","Yes","donate 10-30 DKK","","","2","8","Yes","Computer","I'm alone"
"2018/05/02 8:05:43 pm EET","4","24","Male","Denmark","","Yes","donate 10-30 DKK","","","6","6","Yes","Phone","less than 5"
"2018/05/02 9:48:14 pm EET","8","21","Male","Other","France","Yes","donate 10-30 DKK","","","7","8","Yes","Phone","I'm alone"
